uεόν,renovatur,induo
ἐγχρίω,induo,aurum
ἐδεσμευέτο,praecipio,ago
ἐδιώκε,persequor,quomodo
ἐδιώξαν,persequor,propheta
ἐζ,vivet,vivens
ἐθελοθρησκιᾴ,honorus,humilito
ἐθίζω,consuetudo,pareo
ἐκ,ex,de2
ἐκβάλλω,eicio,daemonium
ἐκδαπανάω,libet,superinpendar
ἐκδημέω,peregrinor,praesento
ἐκδιηγέομαι,pertranseo,videte
ἐκδοχή,adversarios,terribilis
ἐκεῖ,ibi,illic2
ἐκεῖσε,navis,Cypro
ἐκθαμβέομαι,crucifixum,pavere
ἐκκαθάρατε,fermentum,immolo
ἐκκεντάω,transfigo,iterum
ἐκκλησία,ecclesia,septem
ἐκκλησιάι,ecclesia,saluto
ἐκκλησιάς,ecclesia,scribo
ἐκκολυμβάω,enato,consilium
ἐκλαλέω,dimitto,igitur
ἐκλέπω,dormio,furor
ἐκλεκτός,eligo,electus
ἐκλογή,electio,consequor
ἐκμάσσω,pedes,capillus
ἐκνήφω,ignorantia,reverentiam
ἐκοπιάσεν,saluto,laboravit
ἐκπερισσῶς,commorior,at
ἐκπλέω,navigavimus,Troadem
ἐκπληρόω,gigno,secundus
ἐκπορευέσθαι,Caesarea,proficio
ἐκπορευόνται,procedo,septem
ἐκριζόω,eradico,sinis
ἐκσῴζω,agnosco,considero
ἐκτελέω,possum,posteaquam
ἐκτίθημι,expono,enutrivit
ἐκτρέπω,aberro,vaniloquium
ἐκφεύγω,effugio,fugio
ἐκφυῄ,parabola,disco
ἐκχεέτε,septem,templum
ἐκψύχω,exspiravit,cado
ἐλαιᾶι,duo,sto
ἐλάχιστος,paruus,iudico
ἐλαιῴ,oleo,unguento
ἐλασσόω,minuo,honorus
ἐλαφριᾴ,cogito,numquid
ἐλεάζαρ,gigno,Eleazar
ἐλεέω,misericordia,consequor
ἐλεήσόν,miseror,Fili
ἐλεισάβετ,Elisabeth,uxor
ἐλευθεριᾴ,utinam,servitutis
ἐλευθερόω,libero,peccatum
ἐλεύθερος,liber,libo
ἐλιέζερ,Iorim,Matthat
ἐλκύσῃ,venire,nemo
ἐλπίζω,spero,cognosco
ἐλύμας,resisto,quaero
ἐλωί,derelinquo,nona
ἐμβάπτω,intinguit,parapside
ἐμβιβάζω,alexandrinus,transpono
ἐμέω,frigidus,calidus
ἐμμαούς,stadium,duo
ἐμοσχοποιήσαν,vitulum,hostius
ἐμπαιγμός,verbera,ludibrium
ἐμπίμπλημι,exsurio,vae
ἐμπλοκή,indumentum,circumdatio
ἐμποριόυ,vendebant,negotiatio
ἐμπτυέιν,caedo,prophetizo
ἐμφυσάω,insuflavit,Sanctum
ἐνάρχομαι,confido,coepi
ἐναντιά,existimaveram,ago
ἐναντιός,ventus,contrarius
ἐναρξάμενοι,stultus,sic
ἐνδεής,vendebant,pretio
ἐνδιδύσκω,induo,spinea
ἐνδύνοιτες,duco,onero
ἐνδώμησις,mundo,vitro
ἐνέργημα,allium,operatio
ἐνεδρευόυσιν,insidior,exspecto
ἐνεός,stupefacio,comitor
ἐνεργής,evidens,adversarii
ἐνθύμησις,cogitatio,aestimo
ἐνίστημι,sive,insto
ἐνισχυών,agonium,prolixus
ἐνκαταλείψεις,Sanctum,corruptionem
ἐνκυῴ,praegno,profiteor
ἐννύχιος,valde,abeo
ἐνοχλέω,amaritudo,sursum
ἐνταφιασμός,sepelio,unguere
ἐντόπιος,rogo,Hierosolymam
ἐντρέπω,verebuntur,carus
ἐντρυφάω,luxurio,existimantes
ἐντυπόω,ministratio,glorior
ἐνυπνιόις,vestri,iuvenes
ἐξάγω,educo,Aegypti
ἐξαγαγέτωσαν,ito,eicio
ἐξαίρω,aufero,malus2
ἐξαιτέω,Simon,expetivit
ἐξαλιφθῆναι,convertimini,igitur
ἐξανίστημι,uxor,semen
ἐξαποστέλλω,dimitto,inanis
ἐξαρτίζω,instructus,genu
ἐξέλκω,illectus,abstraho
ἐξέφνης,subitus,repens2
ἐξεγείρω,virtutem,scriptura
ἐξεληλυθυιᾶν,tango,novi
ἐξεπορευόντο,vespera,egredior
ἐξετάζω,interrogo,intraveritis
ἐξηγέομαι,narro,saluto
ἐξίημι,volens,crastinus
ἐξισχύω,sublimitas,comprehendo
ἐξομολογήσομαί,misericordia,confiteor
ἐξορύσσω,possum,ubius
ἐξουσιᾴ,potestas,resisto
ἐξουσιάις,potestas,dicto
ἐξοχή,Agrippa,adduco
ἐξωθέω,suscipio,expello
ἐπάγω,praecipio,iste
ἐπάρατος,vestra,levate
ἐπαγγελιά,promissio,repromissio
ἐπαγγελιάις,mediator,repromissio
ἐπαγωνίζομαι,scribo,carus
ἐπαίνετος,saluto,domesticus
ἐπακούω,salus,tempus
ἐπαισχύνομαι,erubesco,confundo
ἐπανάγω,revertens,exsurio
ἐπαναπαυῄ,cognomino,glorior
ἐπανόρθωσις,inspiro,arguo
ἐπαρχειᾴ,provinciam,Caesarea
ἐπέκεινα,deeo,suscipio
ἐπαυρέω,alter,crastinus
ἐπεγείρω,Iudaei,concitaverunt
ἐπεισαγωγή,introductio,proximo2
ἐπεκτείνω,obliviscens,arbitror
ἐπη,iam,interrogavit
ἐπερωτάω,interrogo,interrogavit
ἐπίἀφράζω,saluto,Epaphras
ἐπίγνωσις,agnitio,veritatis
ἐπίλοιπος,voluntate,carnis
ἐπίορκος,plagiarius,concubitor
ἐπίστασις,invenerunt,cottidianus
ἐπιάσαν,venimus,exeo
ἐπιβάλλω,manus,inicio
ἐπιβιβάζω,inpono,duco
ἐπιγαμβρεύω,semen,magister
ἐπιγιγνώσκω,cognosco,cognoverunt
ἐπιδέχομαι,ecclesia,Diotrepes
ἐπιδίδωμι,numquid,porrigo
ἐπιδύω,irasco,iracundia
ἐπιεικιᾴ,clemens,breviter
ἐπιθανατιόυς,spectaculum,apostolus
ἐπιθυμία,desideravi,patior
ἐπιθυμιάι,sinis,efficio
ἐπιθυμιάς,desiderium,ambulo
ἐπικαθίζω,pullum,inpono
ἐπικέλλω,figo,incido2
ἐπικουριάς,extra,propheta
ἐπιλαμβάνω,apprehendo,nusquam
ἐπιλείπω,deficio,Samuhel
ἐπιλύω,legitima,absolvi
ἐπιμελέομαι,cura,diligentia
ἐπινεύω,rogo,maneo
ἐπιούσιος,supersubstantialis,panis
ἐπιπόθειαν,veniendi,annus
ἐπιπορεύομαι,conveniret,propero
ἐπισιτισμός,dimitto,accedo
ἐπισκευάζω,praeparo,iste
ἐπισκοπέω,visitavit,visitastis
ἐπισπείρω,dormio,inimicus
ἐπιστευέτε,forsitan,scribo
ἐπιστολεύς,epistula,sermo
ἐπιστρέφω,conversus,oculus
ἐπισυναγωγή,congregatio,appropinquo
ἐπισωρεύω,sanus,doctrina
ἐπιτέλεσις,ito,gratia
ἐπιτελέσει,confido,coepi
ἐπιτίθημι,inpono,manus
ἐπιτιμή,increpo,damnatio
ἐπιτροπέω,permissus,dum
ἐπιφαίνω,appareo,humanitas
ἐπιφανεύς,convertetur,antequam
ἐπιφώσκω,sabbatum,parasceves
ἐπιχεών,inpono,ago
ἐπιχρίω,lava,lutus
ἐποιέι,signum,nomen
ἐποιήσας,numquid,sic
ἐποικοδομέω,superaedifico,fundamentum
ἐποπτεύω,castus,conversationem
ἐπορευόντο,profiteor,aqua
ἐπουρανιόυ,caelestis,particeps
ἐραυνάω,scrutor,Spiritus
ἐργασιάν,quaestus,praesto2
ἐρείδω,figo,incido2
ἐρῆμος,desertum,deserta
ἐρημιάς,saturo,possum
ἐρίφιον,hedos,statuo
ἐριθιάν,contentio,zelus
ἐριόυ,populus2,mando
ἐρωτάω,rogo,interrogo
ἐσθιέι,manduco,Domino
ἐσθιῄ,bibo,conservos
ἐσθιόντες,milium,manducaverant
ἐσθιών,manduco,Domino
ἐσμ,dimitto,ingredior
ἐσώτερος,interior,interiora
ἐφάλλομαι,dominor,ito
ἐφευρετής,inventores,detractor
ἐφίημι,cado,quattuor
ἐφνίδιος,superveniat,vestra
ἐφορέσαμεν,terrenus,imagino
ἐφρυάξαν,inanis,quare
ἐχθές,heri,interficio
ἕκτος,sextus,hora
ἕλκω,traho,rete
ἕνδεκα,undecim,regredior
ἕξις,sequor,malus2
ἑαυτοῦ,clarifico,masculus
ἑδραιο͂ι,immobilis,stabilis
ἑκάστοτε,obeo,horus
ἑκατοντάρχης,centurio,miles
ἑκατονταρχέω,centurio2,centurio
ἑκών,subicio,volens
ἑλληνίς,mulier,gentilis
ἑλληνιστί,graecum,licet2
ἑνδέκατος,undecimus,circa
ἑξακόσιοι,numerus,intellego
ἑξῆς,sequor,valide
ἑπτακισχιλιόυς,curvaverunt,Baal
ἑρμηνευέται,interpretor,abeo
ἑρμογένης,Phygelus,Hermogenes
ἑσρώμ,gigno,Esrom
ἑτερόγλωσσος,allium,sic
ἑτοῖμος,paratus,paratus2
ἑψάω,tango,novi
εἄσαντες,eques,reversi
εἁυτάς,orno,fleo
εἁυτῇ,enutrivit,tango
εἁυτοῖς,invicem,intra
εἁυτῷ,nemo,intra
ἕ,dico2,autem
εἴδωλον,idolum,simulacrum
εἴληφες,ago,gratiae
εἴσειμι,rogo,Iohannem
εἴσω,intus,atrius
εἴχοσαν,peccatus,venissem
εἰδεά,fulgur,nix
εἰδωλόθυτος,idolum,immolo
εἰδωλολατριάις,idolum,luxuria
εἰκών,imago,imagino
εἰλικρινιᾴ,gratia,carnalis
εἶτα,deinde,Christum
εἰ,si,non
εἰρήνη,pax,fido
εἰρηνευόντες,pax,potis
εἰρηνοποιός,vocabuntur,pacificus
εἰσακούω,exaudio,allium
εἰσελήλυθαν,clamo,operarius
εἰσίημι,erus,odeum
εἰσπηδάω,petitum,introgressus
εἰσπορευόνται,ingredior,sabbata
εἰστρέχω,ianua,curro
ειἄ,increpo,Christum
ειἤ,interrogo,existimo
ειὠθός,consuetudo,sabbatum
εὅρακαν,viderunt,carnis
εὁρτή,festus,Iudaeorum
εὁρτῆς,festus,medio
επειδηπερ,conor,narratio
εςτιν,inpono,causa
εὔβουλος,festinus,saluto
εὔκαιρος,oportune,gavisi
εὔσπλαγχνος,misericors,amator
εὔφημος,quicumque,fama
εἷς,unus,dico2
εὔχρηστος,utile,Lucas
εὐδιά,serenus,rubicundus
εὐδοκιάν,Christum,voluntatem
εὐθειᾶ,sors,rectum
εὐθύνω,dirigo,Esaias
εὐθυδρομέω,venimus,curro
εὐκαιριάν,oportunitatem,quaero
εὐλαβής,timoratus,viri
εὐλογημένη,benedictus,benedico
εὐλογητός,benedictus,Pater
εὐλογιάις,semino,parco
εὐμετάδοτος,communico,facilis
εὐνοιάς,servientes,voluntate
εὐπάρεδρος,honestum,utilitas
εὐποιιάς,oblivisci,beneficientiae
εὐπρέπεια,dives,ito
εὐροκλύδων,euroaquilo,typhonicus
εὐσεβέω,ignotum,parens2
εὐσεβειάς,pietas,devita
εὐσχημοσύνη,abundo,inhonesto
εὐφημιάς,veraces,infamia
εὐφραίνω,epulor,laeto
εὐχαριστιᾴ,actio,gratiae
εὐχή,votum,dimitto
εὑντόν,proximus,volens
εὐχαριστέω,gratiae,ago
ευἄρεστόν,parens2,Domino
ευἄρεστος,probo,servit
ευἀγγελίζεσθαι,Christus,nominatus
ευἀγγελίζονται,caecus,leprosus
ευἀγγελίσαι,lingua,evangelium
ευἀγγελίσηται,evangelizavimus,praeterquam
ευἀγγελιζόμεθα,repromissio,adnuntio
ευἀγγελιζομένου,convenerunt,princeps
ευἀγγελισάμενοί,confirmo,exhortor
ευἀγγελισθέν,evangelizatum,simulatio
ευἀγγελιστοῦ,evangelistae,vigila
ευἀρεστεῖται,oblivisci,beneficientiae
ευἅ,Eva,formo
ευἐργεσίᾳ,salvus,diiudico
ευἠγγέλισεν,evangelizavit,propheta
ευἠγγελίσατο,pax,evangelizavit
ευἠγγελισάμην,evangelizavi,evangelium
ευὀδοῦσθαι,prosperus,valere
ευὀδωθήσομαι,prosperus,voluntate
ευὠδίας,suavitatis,hostius
εὥρακάς,beatum,viderunt
εὥρακέν,vidit,Patrem
εὡράκαμεν,vidimus,adnuntio
εὡράκατέ,vidistis,
εὡρακεν,vidit,Patrem
ζαβουλών,Zabulon,milium
ζαρά,gigno,Esrom
ζαχαριάς,Zaccharias,uxor
ζεβεδαιόυ,Zebedaei,Iohannem
ζεστός,calidus,frigidus
ζεῦγος,probo,turtur
ζήτημα,quaestiono,quaestio
ζῆλος,aemulatio,contentio
ζηλόω,aemulor,charisma
ζημιάν,lucrum,detrimentum
ζηνᾶς,Zenan,praemitto
ζιζανιών,parabola,dimitto
ζοφόω,reservari,rudens
ζυμόω,fermento,fermentum
ζῶσις,amen,evangelizatum
ζωόͅυ,aperio,sigilla
ζωογονέω,perdo,quaeso
ζωοποιέω2,vivificat,Adam
ἤιδει,prosum,locutus
ἤρ,Her,Cosam
ἦλθενλτγτ,illa,civitas
ᾐκολούθει,interficio,sequor
ἠδυνάσθη,abeo,indo
ἠλεήσα,misereo,misertus
ἠλεῖος,Helias,allium
ἤ,aut,dico2
ἠξιόυ,rogo,recipio
ἠπειρωτικός,gloria,magus
ἠχρεώθησαν,declinaverunt,inutilis
ἥλιος,sol,luno
ἥσσων,convenitis,libet
ἡγέομαι,arbitror,detrimentum
ἡγεμών,praeses,praesidero
ἡδεώς,libet,suffero
ἡδυόσμον,oportet,iudicium
ἡλικία,interrogo,aetas
ἡλικιάς,aetas,promitto
ἡμέρα,post,templum
ἡμίσιά,aliquis,Zaccheus
ἡνίκα,velamen,positus
ἡρῳδιάδα,teneo,Iohannem
ἡρῳδιανῶν,Herodianis,capero
ἡσυχάζω,sabbatum,quievimus
ἡσυχιάν,silentium,praesto2
ῆν,civitatis,appropinquo
θάμβος,stupor,invicem
θάλασσα,marum,turbo
θάπτω,sepelio,sepelierunt
θαδδαιο͂ς,Iacobus,Thaddeus
θανάσιμος,aegrotus,benus
θανατόω,mors,trado
θαῦμα,mira,transfiguro
θαυμαστής,canticum,Domine
θέω,mos,Romani
θέλημα,voluntatem,voluntas
θεάτρον,theatrum,Gaio
θειότης,intellego,creatura
θειῴ,ignis,sulphur
θεμελιόυ,sinis,aedifico
θεμελιῴ,superaedifico,Christo
θεότης,corporaliter,divinitatis
θεομάχος,dissolvere,inveniamini
θεοσεβής,peccator,voluntatem
θεραπειάν,fructus2,lignum
θεραπευέι,observabant,invenirent
θεραπευέσθε,curo,sabbatum
θεραπευόντες,evangelizantes,curo
θερισμός,messis,operarius
θεσσαλονίκη,Thessalonicam,venerunt
θευδᾶς,virorum,aliquis
θεωρέω,videt,modicum
θήκη,bibo,dedo
θηλάζω,praegnatus,nutrio
θηριά,Cretenses,bestia
θηριομαχέω,resurgo,prosum
θησαν,parens2,fidus
θιγγάνω,tango,contrectaveris
θνητός,mortalis,induo
θορυβέω,turbo,dormio
θρηνέω,saltastis,lamentavimus
θρησκειάς,velint,vixi
θριαμβεύω,expolians,traduco
θρόνος,thronus,sedes
θύελλα,accensibilis,procello
θύω,fermentum,iterum
θυατείροις,Thyatirae,doctrina
θυγάτριον,filia,inpono
θυίνον,lapis,pretiosus
θυμιατήριον,testamentum,manna
θυμομαχέω,at,pax
θυρίς,fenestra,somnus
θυσία,diligo,sacrificium
θυσιάι,iuxta,insto
θυσιάς,offero,hostio
θυσιαστηριῴ,altaria,sacrarius
θωμᾶς,Thomas,Alphei
ἴλαος,memoro,increpo
ἶδος,Cretenses,piger
ἰάκωβος,Iacobum,Iohannem
ἰακώβ,Iacob,Isaac
ἰαννῆς,resto,resisto
ἰδίω,unusquisque,laboro
ἰδιάν,seorsus,ascendo
ἰδιόομαι,idiota,sinis
ἰδιῴ,iudico,deficio
ἰδουμαία,trans,circa
ἰερουσαλήμ,Hierusalem,propheta
ἰεχονίαν,Iosias,Iechoniam
ἰκμάς,umor,aruo
ἰνάω,miseror,Abraham
ἰορδάνης,Iordanen,baptizo
ἰοῦστος,Iustus,Matthiam
ἰουδαῖος,autem,dico2
ἰουνίαν,saluto,Christo
ἰσκαριώθ,Iudam,Scarioth
ἰσκαριώτου,panis,intingo
ἰσόψυχος,affectio,sincero
ἰσραηλίτης,viri,israhelitae
ἰσχύω,possum,dormio
ἰσχυί,proximi,Dominum
ἰσχυόντος,posteaquam,illudo
ἰσχυρόω,fors,caro2
ἰταλικός,Italica,Caesarea
ἰχθύς,piscis,numquid
ἰχθυός,piscis,favum
ἰώβ,misericors,sustineo
ἰωβήδ,gigno,Booz
ἰωνάμ,Eliachim,Ioseph
ἰωράμ,Ioram,Iosaphat
ἰωσείαν,gigno,Amon
ἰωσήχ,Semei,Iosech
ἰωάννης,Iohannes,Iohannem
ἱβριστήν,contumeliosus,incredulitas
ἱερός,laboro,Hierapoli
ἱκανός,dignus,baptizo
ἱκετηριάς,salvum,possum
ἱλαρότης,exhortor,misero
ἱμάς,dignus,calceamentum
ἱματιόις,vestimentis,coram
ἱματιῴ,plenitudo,nemo
ἱνα,Maria,aroma
ἱστάνω,lego,statuo
ἱστορέω,quindecim,deinde
ιἄσατο,sanavit,at
ιἄσηται,abeo,Galilaeam
ιἄσπιδι,lapis,iaspis
ιἆσθαι,sano,sedeo
ιἀθείς,effectus,declinavit
ιἀθῇ,gradior,claudico
ιἀμάτων,numquid,gratia
ιἀτρῶν,proficio,erogaverat
ιἑράτευμα,spiritalis,sanctum
ιἑρατίας,sacerdotium,incense
ιἑρεῖ,praecipio,Moses
ιἑρεῦσιν,sacerdos,vidit
ἵνα,ut,ego
ιἑροπρεπεῖς,anus,criminatrix
ιἑροῦ,templum,egredior
ιἑρωσύνην,sempiternus,aeternus
ιησους,nemo,Spiritu
ιὅς,Cyprius,Levites
ιουδλιων,Nazarenus,Pilatus
ιωανης,septem,pax
κάκωσις,Aegypto,descendo
κάλυμμα,velamen,Moses
κάμνω,animus,deficio
κάρπῳ,Troade,Carpum
κἄν,vigilia,ito
καθαίρεσις,destructio,aedificatio
καθαρισμός,praecipio,purgatio
καθέδρα,templum,cathedra
καθημερινός,ministerium,cottidianus
καθεύδω,dormio,invenit
καθόλου,vocantes,denuntiaverunt
καθίστημι,constituo,fidelis
καθοράω,intellego,creatura
καίτοιγε,quisquis,baptizo
καιάφα,princeps,sacerdos
καιέται,extra,aruo
καινόν,novum,bibo
καιόυσιν,pono,accendo2
καισαριᾴ,Italica,Caesarea
κακάζω,idem,nemo
κακιάν,depono,malitia
κακόω,suscitaverunt,iracundia
κακοπάλτγτησον,vigila,laboro
κακοπαθιάς,exemplum,propheta
κακοῦργος,latro2,crucifixerunt
καλαμόω,scribo,calamus
καλός,benus,fructus2
καλτγτ,bellum,sanctum
καναναιο͂ν,Thomam,Mattheum
κανών,glorior,regula
καππαδοκιάν,Pontum,Parthi
καρδιά,cur,vestrum
καρδιάις,cor,vestris
καρδιογνώστης,cor,Sanctum
καρπόω,fructus2,agricola
καρτερέω,veritus,invisibilem
κατάγω,concilium,Paulum
κατάκειμαι,iaceo,accumbo
κατάλαλος,inventores,detractor
κατάλυμα,ubius,magister
κατάρα,maledictum,scriptum
κατάστημα,anus,criminatrix
καταβάτης,descendo,tollo
καταβαρύνω,dormio,denuo
καταγγέλλω,adnuntio,Christus
καταγιγνώσκω,reprehendo,cur
καταδέω2,inpono,ago
καταδουλόω,redigo,servitutem
καταθεματίζω,novisset,detesto
κατακαίω,ignis,congrego
κατακαυχάομαι,misericordia,glorior
κατακληρονομέω,Chanaan,sors
κατακλυσμός,diluvium,Noe
κατακρημνίζω,extra,aedifico
κατακυριεύω,dominor,ito
καταλαλάζω,iudico,detraho
καταλαμβάνω,comprehendo,tenebrae
καταλείπω,relinquo,signum
καταλλάσσω,reconcilio,Christo
καταλύω,destruo,veni
καταμαρτυρέω,adversum,sacerdos
καταναρκάω,sinis,parens2
καταντάω,ibi,saluto
καταπατέω,semino,conculco
καταπίνω,absorbeo,gluttientes
καταπονέω,iniuria,Loth
καταρτισμός,ministerium,aedificatio
καταργέω,destruo,sive
κατασκευάζω,ante,fabrico
κατασκηνοῖν,ito,maius
κατασοφίζομαι,vivificarentur,circumveniens
κατασύρω,apud,iudico
καταστρέφω,templum,eicio
καταταβαίνοντα,allium,descendens
κατατρέχω,decurro,miles
καταφθείρω,resto,resisto
καταφρονέω,contemno,fidelis
καταχθονιών,terrestria,genu
κατέ,currus,Philippus
κατέσθω,prolixus,devorant
κατεδιώξεν,persequor,Simon
κατελήμφθην,comprehendo,iam
κατενοόυν,considero,agnosco
κατεσθιέτε,invicem,mordeo
κατεργάζομαι,opero,peccatus
κατευθύνω,dirigo,Dominus
κατήγορος,accusator,paraverunt
κατηχέω,catecizatur,catecizat
κατοίκησις,domicilium,monumentum
κατηγορέω,accuso,sacerdos
κατοικίζω,invidiam,inanis
κατοπτρίζω,claritas,idem
καύχησις,gloria,gloriatio
καῦσις,conbustionem,tribulus
καυστηριάζω,cauterio,hypocrisis
κέδρος,egredior,trans
κέλομαι,vocatus,praeputium
κείρω,tondeo,mulier
κέρας,cornu,decem
κειριάις,ligo,abeo
κελεύω,iubeo,adduco
κενός,inanis,vacuum
κενοφωνιάς,profanus,vocum
κεντυριώνα,iam,interrogavit
κεράμιος,sequor,civitatem
κεραμεώς,figulus,ager
κερματιστής,invenit,columba
κερδαίνω,lucror,lucrum
κῆνσος,an,census
κῆτος,tribus,nox
κεφαλή,caput,mulier
κηφᾶς,sive,Cephas
κιθάρα,vocem,tamquam
κιλικιάν,Ciliciam,Ciliciae
κινδυνευέι,reputo,venire
κιννάμωμον,ovium,anima
κλάσμα,fragmentum,manducaverunt
κλαίω,fleo,flevit
κλαιέτε,fleo,dormio
κλαιόντες,fleo,tamquam
κλαιόυσαν,ploro,turbavit
κλαύδιος,Felici,Claudius
κλαυδιόυ,significo,Agabus
κλέπτης,fur,ubius
κλειών,nemo,aperio
κλεπτης,fur,utique
κλῆμα,maneo,fructus2
κληρόω,vocati,consilium
κληρονομιά,heredito,colonus
κλητός,vocati,vocatis
κλίνω,declino,inclino
κλινιδιῴ,invenientes,turbo
κλύδων,haesito,suscitaverunt
κνήθω,sanus,doctrina
κόκκος,granum,sinapis
κόραξ,semino,considerate
κόπος,labor2,laboro
κόσμιον,hospitalis,sobrius
κοδράντης,quadro,minutus
κοιλιά,venter,vocatum
κοιλιάν,ventrem,secessus
κοινός,communis,nisus
κοινωνει,castum,communicaveris
κοινωνιάν,societas,lucus
κοινωνός,socius,daemonium
κολακιάς,avaritiae,adulatio
κολλούριον,induo,aurum
κολοσσαῖς,pax,Colossis
κολωνιά,Macedoniae,indo
κομίζω,reporto,sive
κονιορτός,pulverem,excutio
κοπεύς,rex,regredior
κοπριάν,sterquilinium,auris
κορβάν,prosum,mater
κορίνθιος,Corinthii,pateo
κορνηλιόυ,inquiro,quisnam
κοσμικός,cultura,saecularis
κούμ,puella,teneo
κουστωδιάς,custos,abeo
κράβαττον,grabattum,tollo
κράτιστος,optume,Felici
κραβάττοις,universam,percurro
κρανιόν,crucifixerunt,Calvariae
κραταιός,humilio,exalto
κραυγή,clamo,ultra
κρεμάννυμι,pendeo,suspendo
κρήσκης,Demas,Thessalonicam
κρίβανος,sic,fides
κρίμᾳ,Christo,annus
κρίσις,iudicium,misericordia
κριθάω,iudico,sinis
κριτηριών,iudico,an
κρουέιν,ostium,pulso
κρουώ,ianua,aperio
κρυσταλλίζω,lapis,crystallum
κρύπτω,abscondo,similis
κτάομαι,possideo,pecunia
κτῆμα,possessio,abeo
κτίσις,creatura,Christo
κύπριος,Cyprius,Levites
κύκλος,circuitus,animalis
κῦμα,procella,fluctus
κυβιᾴ,simus,parvuli
κυκλός,sancio,circuitus
κυλλός,vel,duo
κυνάω,videte,concisio
κυρήνη,Frygiam,Pamphiliam
κυρηναιο͂ς,Saulus,propheta
κυριά,alteruter,rogum
κυριεύω,dominor,sub
κυριευόυσιν,vocantur,dominor
κυριόυ,Domini,noster
κύριος,dico2,Dominus
κυριών,dominus,rex
κυών,sus,lauo
κῶλον,cadavera,infensus
κωλυέι,prohibeo,aqua
κωλυέτε,prohibeo,talis
κωσάμ,Her,Cosam
λάζαρον,Lazarum,Abraham
λάθρᾳ,occulte,clam
λάμπω,sub,vestra
λάχανον,manduco,ito
λακάω,possideo,viscera
λαμά,Heloi,derelinquo
λαλέω,loquor,edo
λαμπρός,veste,induo
λαξευτός,pono,nondum
λαοδικιᾴ,Laodiciae,ecclesia
λασεά,iuxta,navigantes
λατρειάν,obsequium,misericordia
λατρευέιν,offero,Sanctum
λατρευόντες,Christo,fiducia
λατρευο͂ν,devenire,spero
λέπω,video,ambulo
λεγιῶνα,sanus,vident
λειάς,humilio,prava
λειτουργιάς,ministerium,officium
λελουσμένοι,cor,accedo
λεόντι,similis,animal
λεπρόομαι,leprosus,mundo
λευεί,Levi,Matthat
λευείτας,interrogo,quando
λευκάς,ante,albis
λήμψεσθε,nomen,peto
λήμψεως,nullus,ratio
λῆρος,deliramentum,iste
ληνός,lacus,extra
λίθινος,lapideus,tabula
λίμνη,stagnum,ignis
λίτρα,unguentum,pedes
λιβερτῖνος,Cilicia,surgo
λιθάω,lapido,ter
λιθοβολέω,lapido,Hierusalem
λιμήν,hiemo,portus
λιπαρός,pereo,iam
λόγιος,eloquor,potens
λόγχη,lancea,sinis
λογιάς,Galatiae,collecta
λογισμός,invicem,redigo
λογομαχιάς,langueo,verborum
λοιδοριάν,malus2,maledictum
λοιπάζω,ceterus,vae
λος,insipientia,proficio
λουκᾶς,Lucas,Demas
λτγτιτμηθῆτε,mos,circumcido
λύδδα,Lyddae,habito
λύπη,tristitia,gaudium
λύτρον,ministro,redemptio
λύχνος,lucerna,pono
λυδιάν,visis,Lydiam
λυκαονιάς,Lycaoniae,evangelizantes
λυμαίνομαι,Saulus,devastabat
λυπέω,contristo,contristavit
λυσιτελής,inpono,utilis
λυχνία,septem,medius
λυχνιάν,pono,sub
λωίδι,primus,fides
μάλιστα,laboro,verbo
μάννα,manna,manducaverunt
μάρθας,Bethania,langueo
μάρτυς,testis,testa
μάτος,vanum,doctrina
μάχομαι,litigo,panus
μαάθ,Semei,Iosech
μαγδαληνῇ,primus,Magdalenae
μαγιάις,magice,demento
μαθήτρια,interpretor,discipula
μαθητός,discipula,manduco
μαθθαιο͂ς,Iacobus,Philippus
μαίνομαι,mensis,annus
μακαριά,beatum,dicte
μακαριοι,beatum,paupero
μακεδονιᾴ,Macedonia,ito
μακεδών,animus,Aristarcho
μακροθυμέω,patior,longanimis
μακροθυμιάν,misericordia,longanimitas
μαλακιάν,infirmitas,languor
μαλελεήλ,Iared,Mathusalae
μαναήν,Saulus,propheta
μανιάν,insanio,ratio
μαράν,maranatha,anathema
μαριά,Maria,Magdalene
μαριάν,Mariam,laboravit
μαρτυρέω,testimonium,perhibeo
μαρτυριάν,testimonium,Filio
μασάομαι,lingua,prae
μαστός,beatus,ubero
ματαιότης,subicio,ambulo
ματαιολογιάν,vaniloquium,aberro
μέγαλτγτ,sacerdos,
μέθη,ebrietas,praedico2
μέλας,scribo,atramentum
μέλλω,futurus,incipio
μέμφομαι,queror,voluntati
μένω,quidem,autem
μέριμνα,sollicitudo,verbum
μέσος,medius,sto
μέτρον,mensura,metior
μεγαλειᾶ,magnalia,Arabes
μεγαλόθυμος,magnifico,Maria
μεγαλωσύνη,dexter,saeculum
μεθερμηνευέται,resisto,quaero
μεθόριος,vobiscum,gratia
μεθύσκω,inebrio,ebrius
λέγω,dico2,ille
μεθυόυσαν,sanguis,ebrius
μείς,multiplico,benedico
μελετάω,meditor,inanis
μελχισεδέκ,Melchisedech,ordino
μεμιαμμένοις,mundus2,conscio
μεμψίμοιρος,superbus,quaestus
μενοῦνγε,numquid,sonus2
μεσημβριάν,appropinquo,circumfulgeo
μεριμνάω,sollicitus,quomodo
μεσότοιχος,inimicitia,pax
